Time,1,2,3,4,5,6,7,8,9,10,11
0,1636,1019,1575,491,598,1228,1014,287,659,5559,2110
1,1563,968,1499,499,564,1164,938,262,610,5266,1984
2,1507,932,1448,498,547,1121,892,243,571,5059,1903
3,1470,912,1417,498,534,1098,855,230,545,4925,1849
4,1461,918,1422,503,544,1100,838,227,533,4876,1833
5,1488,949,1455,509,566,1122,842,231,536,4948,1839
6,1570,1010,1566,524,617,1186,890,245,572,5255,1906
7,1713,1129,1694,544,682,1276,958,270,624,5680,2055
8,1860,1237,1808,539,723,1335,1018,304,683,6125,2226
9,1984,1338,1891,533,748,1374,1076,329,720,6436,2374
10,2103,1434,2010,532,779,1419,1149,350,764,6709,2535
11,2209,1541,2121,532,811,1490,1242,377,800,6936,2709
12,2300,1618,2208,539,846,1558,1328,408,839,7111,2873
13,2385,1681,2275,548,866,1637,1399,425,877,7225,2987
14,2410,1714,2326,551,878,1702,1471,439,902,7320,3069
15,2416,1737,2362,559,891,1759,1528,454,932,7385,3154
16,2439,1768,2416,578,918,1809,1581,463,943,7392,3229
17,2187.4,1488.3,2247.6,430,932,1657.9,1664.4,439.1,959,7308.05,4221.28
18,2396,1794,2462,583,959,1908,1616,463,918,7061,3222
19,2328,1727,2423,589,944,1867,1576,448,889,6850,3041
20,2265,1662,2353,588,933,1824,1520,437,881,6769,2954
21,2252,1614,2293,573,909,1764,1442,413,853,6674,2833
22,2132,1497,2147,537,841,1627,1319,376,801,6444,2613
23,1999,1365,1991,508,763,1492,1190,339,737,6112,2356
