Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,81964.761,79768.685,78613.847,78316.052,78801.993,80421.969,83185.414,86301.605,88508.772,89366.481,88842.513,87657.511,86478.473,85354.908,84657.448,85504.637,88364.316,94184.338,96897.254,95888.48,95074.067,92780.099,89331.72,85588.843
2,81176.124,79363.615,78490.404,78736.104,80766.431,86171.66,95092.502,99567.211,99391.52,98717.892,98287.793,96794.614,94944.736,94020.745,93351.443,93419.093,95156.299,99150.534,104040.816,104559.91,103471.402,99989.296,94798.456,89906.057
3,96471.728,95308.123,95048.409,95939.731,98350.631,103984.194,112079.03,117732.92,117775.962,116028.72,114526.112,113137.367,111468.903,110074.149,108504.201,107063.816,106624.442,107024.716,108069.004,111567.987,113693.679,110663.323,105402.279,100071.421
4,63050.239,60356.982,58956.836,58006.892,58217.497,59274.237,61518.794,63799.226,67658.716,70621.932,72344.662,72988.976,73178.497,73190.54,73565.611,74237.001,75210.478,76081.211,76193.219,76578.185,78874.44,77627.557,73809.831,68948.557
5,64281.003,61812.023,60420.609,60223.407,61755.635,66128.314,72530.757,77765.362,79816.189,81040.573,82607.284,83669.986,84540.729,85570.514,86456.066,87170.537,88455.772,89303.212,89014.239,88209.906,88602.836,87426.464,80743.686,73784.462
6,86972.192,81721.184,78256.109,76545.415,76447.204,79289.182,84234.431,90727.06,95802.32,100882.165,106120.086,110310.482,114029.297,117967.359,120966.284,122952.765,124148.386,124107.536,121739.613,117541.961,113687.859,110081.34,102860.901,93969.698
7,87148.227,81835.318,78101.472,75717.735,74659.074,75183.213,75888.308,79513.024,85838.133,92471.314,98349.311,103209.88,106733.981,109339.324,111311.774,113420.083,115258.049,116027.692,114563.96,110876.682,106340.152,103321.525,97386.465,89668.509
8,84598.834,80029.267,77108.774,75574.264,75852.855,79488.659,85581.725,90378.331,95491.423,100574.852,105558.171,109747.329,112883.745,116213.545,118552.908,119706.328,120971.839,121352.978,119665.887,116184.653,114049.764,110028.59,102062.64,93381.932
9,75318.199,71570.496,69188.39,67785.852,68283.146,72127.289,79513.726,83811.68,86903.8,90473.69,94432.859,98139.438,101531.245,104566.72,106578.948,107854.708,108949.498,108427.252,105203.866,102575.892,101038.166,96365.083,90092.129,83081.049
10,67122.057,64282.516,62338.009,61207.77,60975.164,61724.975,63505.455,65809.675,69004.675,72517.766,75007.286,76947.997,78671.733,79837.168,80244.871,80846.62,81745.362,82759.154,84071.277,86308.285,84521.467,80622.385,75567.024,70745.799
11,80549.382,79168.242,78827.574,79469.242,81919.907,87294.6,96162.218,99492.196,97950.84,95456.975,93507.17,91853.796,90431.755,90095.766,89799.524,90215.062,92603.22,97356.799,97762.266,96384.806,94059.911,90253.387,84632.092,79379.599
12,95273.52,93250.411,92442.938,92725.264,94958.943,100181.855,108571.204,113430.72,113450.742,112635.874,111905.137,110768.95,109423.836,108943.585,108804.079,109024.275,111464.503,116446.059,116488.156,114747.716,113007.664,110187.284,105865.441,100383.082
